BSD,ID BSD,GeoServer,ID GeoServer
ESPACES NATURELS SENSIBLES (ENS),226,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
INSTALLATIONS PRODUCTION ELEC - HYDRAULIQUE,3370,Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6
DROIT DE PREEMPTION SUR ESPACES NATURELS SENSIBLES - PARCELLES,1268,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
THD OFFRE 2 MEGA,1547,CR Aqutaine - THD Offre 2 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77e9
ESPACES NATURELS SENSIBLES (ENS),226,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
INSTALLATIONS PRODUCTION ELEC - HYDRAULIQUE,3370,Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6
DROIT DE PREEMPTION SUR ESPACES NATURELS SENSIBLES - PARCELLES,1268,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
THD OFFRE 2 MEGA,1547,CR Aqutaine - THD Offre 2 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77e9
THD OFFRE 2 MEGA,1547,CR Aqutaine - THD Offre 2 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77e9
THD OFFRE 10 MEGA,1548,CR Aqutaine - THD Offre 10 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77eb
ZONES DE PREEMPTION AU TITRE DES ESPACES NATURELS SENSIBLES (ZPENS),1922,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
BD ORTHO 2,5M : AQUITAINE,2224,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
ZONES DE PREEMPTION ESPACES NATURELS SENSIBLES (ZPENS),3178,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
SITES TOURISTIQUES : POINTS REMARQUABLES,3239,CDC Bourg en Gironde - Sites touristiques remarquables,FeatureTypeInfoImpl--65d22c8b:140e2f62cb9:6bc8
BD ORTHO 2,5M : AQUITAINE,3741,IGN - BD ORTHO 2009 - Aquitaine,CoverageInfoImpl-4c4d58b5:1582f112b3c:-3b3
DICTIONNAIRE : ESPACES NATURELS SENSIBLES (ENS),3929,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
UNITE DE GESTION DES ESPACES NATURELS SENSIBLES,4024,CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c
MASSE D'EAU PLAN D'EAU,332,DDTM40 - Emprise d'un plan d'eau douce,FeatureTypeInfoImpl-2fa548b8:13291b4bfc7:-7835
PLANS D'EAU  ET ETANGS DES AAPPMA,523,FD pêche 33 - Plans d'eau AAPPMA,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7daa
ROUTES A GRANDE CIRCULATION (CLASSEMENT),937,DDT 47 - Routes à Grande Circulation,FeatureTypeInfoImpl-4d526dfe:149f0c00e2c:7695
