Cartogip,ID Cartogip,BSD,ID BSD
ddpp - Traitement sous produits,1838,ETABLISSEMENT TRAITEMENT SOUS PRODUITS (EQUARRISSAGE, COMPOSTAGE, METHANISATION),4314
insee - Population iris 2007,307,RECENSEMENT POP 2007 - IRIS - THEME POPULATION,1226
sidpc - Moustique tigre Communes infectées,1874,MOUSTIQUE TIGRE : COMMUNES INFECTEES,3596
raster - BD ORTHO 2015 25cm,1717,BD ORTHO 5M - 2015 : EX-AQUITAINE,3356
socio_economique - Part des 15-24 ans dans la population totale,550,PART DES 15-24 ANS DS POP TOTALE,2042
socio_economique - Part des 55-64 ans dans la population totale,699,PART DES 55-64 ANS DS POP TOTALE,2044
socio_economique - Part des 25-54 ans dans la population totale,1043,PART DES 25-54 ANS DS POP TOTALE,2043
ddtm47 - Périmètres de protection des captages AEP,495,RESEAU AEP : PERIMETRES DE PROTECTION DES CAPTAGES,2107
ddtm47 - Zone de securité autour des canalisations de gaz,928,RESEAU TRANSPORT GAZS : ZONE DE SECURITE AUTOUR CANALISATIONS,1517
patrimoine_culturel - Périmètre de protection des monuments historiques (500 m),167,PERIMETRE DE PROTECTION DES MONUMENTS HISTORIQUES,159
tigf - Postes de sectionnement et robinets de sécurité (TIGF),438,POSTES DE SECTIONNEMENT ET ROBINETS DE SECURITE,1904
socio_economique - 15 ans et + non scolarisés sans diplômes,789,POP DE 15 ANS ET + NON SCOLARISES SANS DIPLOMES,2056
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,PART DES ACTIFS OCCUPES DE 25-54 ANS,2053
socio_economique - Part actifs occupés de 15-24 ans,746,PART DES ACTIFS OCCUPES DE 15-24 ANS,2052
socio_economique - Part actifs occupés de 55-64 ans,757,PART DES ACTIFS OCCUPES DE 55-64 ANS,2054
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,PART DES ACTIFS OCCUPES DE 55-64 ANS,2054
socio_economique - Part actifs occupés de 25-54 ans,786,PART DES ACTIFS OCCUPES DE 25-54 ANS,2053
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,PART DES ACTIFS OCCUPES DE 15-24 ANS,2052
admin_express - Communautés ou groupements de communes (EPCI),1702,WEB_1-30_LES COMMUNAUTÉS DE COMMUNES (EPCI) DU DÉPARTEMENT DE LA DORDOGNE,2263
limites_admin - Communautés ou groupements de communes (EPCI),1783,WEB_1-30_LES COMMUNAUTÉS DE COMMUNES (EPCI) DU DÉPARTEMENT DE LA DORDOGNE,2263
cadastre - Parcelles,106,CADASTRE ANCIEN : PARCELLES 1812,1697
dreal - ICPE industries (DREAL),109,ICPE - INDUSTRIES,3593
cadastre - Bati,210,CADASTRE ANCIEN : BATI 1812,1698
gip_atgeri - Cantons 2015,225,CANTONS 2015,3270
ddt - Points routiers,227,POINTS ROUTIERS,3583
WMS Geosignal,262,DONNEES EN WMS : GEOSIGNAL,2241
atlas - Atlas zoom4000,303,ATLAS,258
Reserves nationales de chasse et faune sauvage,370,FAUNE SAUVAGE,3970
cadastre - Cadastre IGN Aquitaine,470,CADASTRE,79
cadastre - Cadastre -  PCI  (2 CDC),473,CADASTRE,79
cadastre - Lim. Communales - IGN - BD Parcellaire,478,BD PARCELLAIRE,1205
ZNIEFF 1,544,ZNIEFF 1,80
Scan 1000 IGN,583,SCAN 1000,263
atlas - Atlas zoom8000,670,ATLAS,258
atlas - Atlas zoom2000,677,ATLAS,258
dfci - Pistes forestières 40,841,PISTES DFCI,615
piste_cyclable - Pistes cyclables,877,PISTES CYCLABLES,117
atlas - Atlas A3,950,ATLAS,258
projets_infrastructures - Projet ouvrages hydrauliques,967,OUVRAGES HYDRAULIQUES,1150
pompier - Buffer 400m Prise d'eau,973,PRISE D'EAU,138
gip_atgeri - cantons 2015,1172,CANTONS 2015,3270
ddt - Points routiers,1177,POINTS ROUTIERS,3583
cadastre - Parcelles,1212,CADASTRE ANCIEN : PARCELLES 1812,1697
dfci - Test saisie pistes,1226,PISTES DFCI,615
sdis - Inter acces fluvial,1299,ACCES FLUVIAL,51
cadastre - Bati,1339,CADASTRE ANCIEN : BATI 1812,1698
cub - Stations VCUB,1549,DISPONIBILITE STATIONS VCUB EN TEMPS REEL,4089
rff - Reseau ferre,1603,RESEAU FERRE EN SERVICE (RGI),645
geofla - Limites communales,1617,LIMITES COMMUNALES,4348
dfci - ASA,1718,ASA DFCI,182
ZNIEFF 2,1753,ZNIEFF 2,81
patrimoine_culturel - Monuments historiques (immeubles) Aq Mp,1778,MONUMENTS HISTORIQUES,3179
cadastre - Parcelles,1912,CADASTRE ANCIEN : PARCELLES 1812,1697
cadastre - Bati,1914,CADASTRE ANCIEN : BATI 1812,1698
cadastre - Cadastre IGN Aquitaine,1938,CADASTRE,79
reseau_routier - PK routier,1965,PK ROUTIER,102
tigf - Postes de livraison (TIGF),437,POSTES DE LIVRAISON,1905
Ortho 65 2010,445,ORTHO 2010 : CHARENTE-MARITIME,1978
Arretes de protection de biotope,524,ARRETES DE BIOTOPE,229
ddcspp - Elevage avicoles / volailles,588,ELEVAGE DE VOLAILLES,3555
cartorisque - PPR mouvement de terrain,755,MOUVEMENT DE TERRAIN,424
erdf - Poste de transformation RTE - ERDF,1159,POSTE DE TRANSFORMATION,170
wms_externe - fond GIP 4000 GCIS,1264,FOND GCIS 33,3775
wms_externe - Aléa mouvement de terrain - Couche de synthèse,1281,MOUVEMENT DE TERRAIN,424
pompier - Point d'eau naturel,898,POINT EAU NATUREL,49
eau - Très petite masse d'eau,547,MASSE D'EAU PLAN D'EAU,332
eau - Grande masse d'eau,914,MASSE D'EAU PLAN D'EAU,332
bdtopo - Cours d'eau,1187,ETAT COURS D'EAU,1023
