Cartogip,ID Cartogip,GeoNetwork,ID GeoNetwork
insee - Population iris 2007,307,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
telespazio - Foyers de mortalités 2010,385,TELESPAZIO - Cartographie des foyers de mortalités de pin maritime,867dc82b-c145-475a-921e-48985a0580fc
insee - Population iris 2012,1651,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
ddpp - Cuisines centrales agréées,1829,DDCSPP - Lot-et-Garonne : cuisines centrales agréées,750850ef-a7fa-40f1-a8d3-84cd6f9a4ba9
insee - Population 2008 (DGF),182,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
carmen - Parcs naturels régionaux,261,IGECOM - Landes : Parcs Naturels Régionaux,metadonnee_parc_regional
tigf - Postes de livraison (TIGF),437,TIGF - Aquitaine : Postes de Livraison,f1c40804-31ef-4f0b-a930-78606a03e726
carmen - Parcs naturels régionaux,706,IGECOM - Landes : Parcs Naturels Régionaux,metadonnee_parc_regional
carmen - Parc national des Pyrénées,1237,Aquitaine : Parc National des Pyrénées (PNP) : zone centrale, zone d'adhésion et zone périphérique,fr-120066022-jdd-558d492a-9213-4edd-915a-6b53262c7842
carmen - Réserves naturelles nationales,1332,CD47 - Lot-et-Garonne : Réserves Naturelles Nationales (RNN),97bac11b-551f-421b-b5ce-61fd8b2d7995
raster - Scan 25 Aquitaine,1576,IFN - Aquitaine : SCAN Express 25,IGNF_SCANExpress25_1-0.xml
insee - Population legales 2008 dgf,105,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
insee - Population par commune 2007,222,INSEE2 - Aquitaine: BDD infra-communales - Recensement de la population 2007 - Thème Activité des résidents,c007939d-6938-4a61-b34e-27a1219c05bf
insee - Population par cantons 2008,426,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
pompier - Point d'eau naturel,898,DDTM40 - Landes : Point de prélèvement d'eau au milieu naturel effectué pour l'irrigation,41b85d47-5a21-4ae1-9860-0b9a3bd4ed0d
insee - Population legales 2008 dgf,1335,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
pompier - Points d'eau naturels,1981,LOGOSDIS241 - Dordogne : Répartition des points d'eau naturels,ea28338c-f99d-488f-994c-6fa47d7275cd
dreal - Communes classées en Loi Littoral,252,DREAL2 - Aquitaine : Communes soumises à la Loi Littoral,FR-120066022-MDLOT-3800
ars - Services de soins de longue durée,831,ARS - Aquitaine : Etablissements de santé - Soins longue durée,1e550a78-589e-4d29-ad8c-b5f39b9d7a93
ars - Services de soins de suite et de réadaptation,832,ARS - Aquitaine : Etablissements de santé - Soins de suite et de réadaptation (SSR),2f26dbda-e6d6-4568-901c-6e85c35cb983
Directive Habitats - Natura 2000,907,DREAL2 - Aquitaine : Natura 2000 Directive Oiseau et Habitat,235cabd6-bbef-474a-87ae-1bd9f1fbb00c
onf - ONF : contours des Parcelles Forestières,1784,ONF - Aquitaine : Parcelles forestières publiques,14f71950-dfc4-4a61-bd9e-66d4e53f9016
cadastre - Lim. Communales - IGN - BD Parcellaire,478,RGE BD PARCELLAIRE ® IGN de 2011,3236a884-e292-2904-bd36-b18a469ea613
ddtm47 - Périmètres de protection des captages AEP,495,SMEGREG - - Les périmètres de protection des captages d'eau destinée à la consommation humaine,4b5aa3d4-8e98-4a8f-9288-1bfe1475415e
wms_externe - Agence Adour Garonne,884,SMEGREG - AGENCE DE L'EAU ADOUR-GARONNE - Revue de l'Agence de l'Eau Adour Garonne,3bd6a328-1035-4964-8d1b-13938d716640
wms_externe - Agence Adour Garonne,1217,SMEGREG - AGENCE DE L'EAU ADOUR-GARONNE - Revue de l'Agence de l'Eau Adour Garonne,3bd6a328-1035-4964-8d1b-13938d716640
insee - Population Iris 2012 cercle,1639,INSEE2 - Aquitaine/Limousin/Poitou-Charentes: Bases de chiffres clés - Recensement de la population 2012 - Thème Diplômes - Formation,7f95b948-41fc-4390-b350-971267798e57
raster - BD ORTHO 2015 25cm,1717,IFN - BD ORTHO IRC 50CM 2015 : PYRENEES-ATLANTIQUES,IGNF_BDORTHOr_2-0_JP2-E100_LAMB93_D64-2015.xml
insee - Population par départements 2008,375,INSEE2 - Aquitaine: Bases de chiffres clés - Recensement de la population 2008 - Thème Emploi - Population active,8a42202b-e883-4f08-802b-789fd70f5df0
