Cartogip,ID Cartogip,GeoServer,ID GeoServer
insee - Densité de population 2006,201,INSEE - Densité population carroyage 200m,FeatureTypeInfoImpl--6dc19e29:136a16cf456:-7ea
insee - Population par commune 2007,222,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
crpf - Plan simple de gestion,906,DDT 24 - Propriétés couvertes par un Plan Simple de Gestion,FeatureTypeInfoImpl-7a7bae0a:141b772d55a:182e
carmen - Réserves naturelles nationales,1332,CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01
filiere_bois - Itinéraires des bois ronds,931,DRAAF - Itinéraires bois ronds,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ffd
Etab. pour personnes agées,1821,ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309
insee - Population commune (2006),483,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
insee - Population par commune (2007),655,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
insee - Population par commune (2007),1190,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
projets_infrastructures - Projet LGV GPSO au 10 12 2012,1011,RFF - Projet LGV GPSO 1000m,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d6e
socio_economique - Taux de chômage des 15-24 ans,346,PIGMA - Taux de chômage des 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:-1f4d
socio_economique - Taux de chômage des 15-64 ans,347,PIGMA - Taux de chômage des 15-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:34b3
ddtm47 - Périmètres de protection des captages AEP,495,ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca
socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,574,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
socio_economique - Part actifs occupés de 15-24 ans,746,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
socio_economique - Part actifs occupés de 55-64 ans,757,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
socio_economique - Part des actifs de 55-64 ans par rapport à la population des 55-64 ans,784,PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d
socio_economique - Part actifs occupés de 25-54 ans,786,PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3
socio_economique - Taux de chômage des 55-64 ans,1039,PIGMA - Taux de chômage des 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-5989
socio_economique - Part des actifs de 15-24 ans par rapport à la population des 15-24 ans,1042,PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671
socio_economique - Taux de chômage des 25-54 ans,1046,PIGMA - Taux de chômage des 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:7f44
insee - Taux de croissance de la population entre 1962 et 2007,733,INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310
ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1266,DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd
