GeoNetwork,ID GeoNetwork,GeoServer,ID GeoServer
CD64 - Ouvrages des sentiers d’intérêt départemental,8d291bfc-7e06-4140-833c-8119d392ed8d,CG 64 - Ouvrages sur les sentiers d'intérêt départemental,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e97
DREAL2 - Territoires à risque important d’inondation,5875d0f4-2a1c-4f3b-b8c9-8cfa6cbca2d0,DREAL - Territoires à Risque important Inondation,FeatureTypeInfoImpl-1b06dd87:1420dc1a615:17e9
PREF_33 - Gironde : Plan Communal de Sauvegarde (PCS),9f1024c9-2096-456f-9888-24170eedd240,DGPR - Plan Communal de Sauvegarde (PCS),FeatureTypeInfoImpl--2fa2561a:14fa7e9d44a:-6969
GNUM - Gironde : Tracé des emprises des NRA-ZO,664368f0-cdca-413b-b286-db3d5a255a60,Gironde Numerique - Tracé des emprises des NRA-ZO,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dba
CULTURE - Aquitaine : Plan de Sauvegarde et de Mise en Valeur (PSMV),e43591d4-75c4-4dcd-adc1-d67871038c21,DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b
EPIDROPT1 - Dordogne et Lot-et-Garonne : Espèce indésirable dominante (Eid) de la ripisylve du Dropt,554de0fa-0c3b-4d06-9cb5-62d7fafa819a,EPIDROPT - Espèce indésirable dominante Pe_I,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ec2
BXM - Aires de triage issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,c8de14e2-ffc9-4a1f-8558-003306e55f79,IGN BD TOPO - Aire de triage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e32
GIPLITTORAL1 - Littoral Aquitain : Schéma Plans Plages final,{9578A111-EDE4-4567-9090-C4BAD0C62726},GIP Littoral - Plan plages littoral Aquitain,FeatureTypeInfoImpl--64db1a4f:15a947f3880:315b
SIAEPA_SAINTSELVE - SIAEPA de Saint-Selve : Réseau d'eau potable,99fb3705-d904-4c27-83ce-41c6293a97c8,SIAEPA de La Brède - Réseau d'eau potable,FeatureTypeInfoImpl-547a414f:138a4b2645c:-7dba
ORECCA - Aquitaine : consommations d'énergie finale par commune en 2012,11dcd7e6-5a87-43f1-8520-868b4337dee2,Total - Consommations d'énergie finale en 2012,FeatureTypeInfoImpl--32412c87:14eb58b5b50:16e7
Atlas Aquitaine : Territoires à Risque Important d'Inondation (TRI), dans le cadre de la Directive Inondation,fr-120066022-jdd-3afcc230-b015-434c-b8f9-24917558cdb9,DREAL - Territoires à Risque important Inondation,FeatureTypeInfoImpl-1b06dd87:1420dc1a615:17e9
CD64 - Les sentiers d'intérêt départemental (SID),19acac9c-0844-438c-baef-8bbc0a0bfc41,CG 64 - Ouvrages sur les sentiers d'intérêt départemental,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e97
BXM - Points d'eau servant à l'alimentation en eau potable issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,e92103b4-76e7-4a54-8ea1-66d334a1c4d8,IGN BD TOPO - Point d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e68
BXM - Surfaces d'eau issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,7a199d0f-a53f-47a7-a8ad-00e97e2a3dad,IGN BD TOPO - Point d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e68
PARC4 - PNR Landes de Gascogne : Sites d'Hivernage de la Grue Cendrée,6dcaef07-f49b-4112-a80f-c9a3208146f0,PNR LG - Sites d'hivernage de la grue cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-65dc
PARC4 - PNR Landes de Gascogne : Tracés des Sorties Grand Public,b1dcf4db-bde1-44b0-981a-227e78f400bd,PNR LG - Tracés des sorties grand public,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-655a
EPIDOR - Bassin versant de la Dordogne : Zones à Dominante Humide, inventaire au 1/50000e de 2011,ccc6fa04-e460-446b-b938-76a85df9fda0,EPIDOR - Zones à Dominante Humide Dordogne,FeatureTypeInfoImpl--7c49cce1:1359a5c4ecf:-5eaa
