GeoServer,ID GeoServer,BSD,ID BSD
Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6,INSTALLATIONS PRODUCTION ELEC - HYDRAULIQUE,3370
CR Aqutaine - THD Offre 10 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77eb,THD OFFRE 10 MEGA,1548
CDC Bourg en Gironde - Sites touristiques remarquables,FeatureTypeInfoImpl--65d22c8b:140e2f62cb9:6bc8,SITES TOURISTIQUES : POINTS REMARQUABLES,3239
CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c,ESPACES NATURELS SENSIBLES (ENS),226
CR Aqutaine - THD Offre 2 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77e9,THD OFFRE 2 MEGA,1547
ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309,ETABLISSEMENTS POUR PERSONNES AGEES,1298
CA Cote Basque Adour - Plan Local de l'Habitat,FeatureTypeInfoImpl-2245790e:1419d4dc311:-4b0e,PLH - PLAN LOCAL DE L'HABITAT,1323
CG 24 - Espaces Naturels Sensibles (Ponctuels),FeatureTypeInfoImpl-91f625d:140546729a4:3a9a,ESPACES NATURELS SENSIBLES (ENS),226
CG 24 - Espaces Naturels Sensibles (polygones),FeatureTypeInfoImpl-91f625d:140546729a4:-3604,ESPACES NATURELS SENSIBLES (ENS),226
DDT 47 - Routes à Grande Circulation,FeatureTypeInfoImpl-4d526dfe:149f0c00e2c:7695,ROUTES A GRANDE CIRCULATION (CLASSEMENT),937
PIGMA - Population iris 2009,FeatureTypeInfoImpl-186890ab:15a3cd2d1e6:-352c,RECENSEMENT POP 2009 - IRIS - THEME POPULATION,2786
FD pêche 33 - Plans d'eau AAPPMA,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7daa,PLANS D'EAU  ET ETANGS DES AAPPMA,523
IGN BD TOPO - Gares,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3a,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Surface eau - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdb2da1a3:-17b0,BD TOPO : SURFACE D'EAU,1828
IGN BD TOPO - Surface activité,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8c,BD TOPO : SURFACE D'EAU,1828
ARS - Etablissements pour adultes handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-4f4b,ETABLISSEMENTS POUR ADULTES HANDICAPEES,2025
ARS - Etablissements pour enfants handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-45a4,ETABLISSEMENTS POUR ENFANTS HANDICAPEES,1299
IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42,BD TOPO : PISTES D'AERODROME,1822
IGN BD TOPO - Routes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e24,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
PNR LG - Tracés des sorties grand public,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-655a,TRACES SORTIES GRAND PUBLIC,773
Installations de production solaire photovoltaïque en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5067,INSTALLATIONS PRODUCTION ELEC - SOLAIRE PV,3369
AURBA - Lots disponibles des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ffa,LOTS DISPONIBLES DES ZONES D ACTIVITES,685
DDTM40 - Zones de revitalisation rurale 1996,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d82,ZONE DE REVITALISATION RURALE 1996,1550
IGN BD TOPO - PAI orographie,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8a,BD TOPO : T. VEGETATION ET OROGRAPHIE,1058
Installations de production hydraulique en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-56a6,INSTALLATIONS PRODUCTION ELEC - HYDRAULIQUE,3370
CR Aqutaine - THD Offre 10 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77eb,THD OFFRE 10 MEGA,1548
CDC Bourg en Gironde - Sites touristiques remarquables,FeatureTypeInfoImpl--65d22c8b:140e2f62cb9:6bc8,SITES TOURISTIQUES : POINTS REMARQUABLES,3239
CG64 - Espaces naturels sensibles,FeatureTypeInfoImpl--28e07fc6:137e8b84496:-1c1c,ESPACES NATURELS SENSIBLES (ENS),226
CR Aqutaine - THD Offre 2 méga,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-77e9,THD OFFRE 2 MEGA,1547
ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309,ETABLISSEMENTS POUR PERSONNES AGEES,1298
CA Cote Basque Adour - Plan Local de l'Habitat,FeatureTypeInfoImpl-2245790e:1419d4dc311:-4b0e,PLH - PLAN LOCAL DE L'HABITAT,1323
CG 24 - Espaces Naturels Sensibles (Ponctuels),FeatureTypeInfoImpl-91f625d:140546729a4:3a9a,ESPACES NATURELS SENSIBLES (ENS),226
CG 24 - Espaces Naturels Sensibles (polygones),FeatureTypeInfoImpl-91f625d:140546729a4:-3604,ESPACES NATURELS SENSIBLES (ENS),226
DDT 47 - Routes à Grande Circulation,FeatureTypeInfoImpl-4d526dfe:149f0c00e2c:7695,ROUTES A GRANDE CIRCULATION (CLASSEMENT),937
PIGMA - Population iris 2009,FeatureTypeInfoImpl-186890ab:15a3cd2d1e6:-352c,RECENSEMENT POP 2009 - IRIS - THEME POPULATION,2786
FD pêche 33 - Plans d'eau AAPPMA,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7daa,PLANS D'EAU  ET ETANGS DES AAPPMA,523
IGN BD TOPO - Gares,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e3a,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
IGN BD TOPO - Surface eau - Région étendue,FeatureTypeInfoImpl--2c77ddf1:14bdb2da1a3:-17b0,BD TOPO : SURFACE D'EAU,1828
IGN BD TOPO - Surface activité,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8c,BD TOPO : SURFACE D'EAU,1828
ARS - Etablissements pour adultes handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-4f4b,ETABLISSEMENTS POUR ADULTES HANDICAPEES,2025
ARS - Etablissements pour enfants handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-45a4,ETABLISSEMENTS POUR ENFANTS HANDICAPEES,1299
IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42,BD TOPO : PISTES D'AERODROME,1822
IGN BD TOPO - Routes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e24,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
PNR LG - Tracés des sorties grand public,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-655a,TRACES SORTIES GRAND PUBLIC,773
Installations de production solaire photovoltaïque en 2014,FeatureTypeInfoImpl--32412c87:14eb5c19f39:-5067,INSTALLATIONS PRODUCTION ELEC - SOLAIRE PV,3369
AURBA - Lots disponibles des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ffa,LOTS DISPONIBLES DES ZONES D ACTIVITES,685
DDTM40 - Zones de revitalisation rurale 1996,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d82,ZONE DE REVITALISATION RURALE 1996,1550
IGN BD TOPO - PAI orographie,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8a,BD TOPO : T. VEGETATION ET OROGRAPHIE,1058
IGN BD TOPO - PAI orographie,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e8a,BD TOPO : T. VEGETATION ET OROGRAPHIE,1058
IGN BD TOPO - PAI transport,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e76,BD TOPO : T. RESEAU DE TRANSPORT D'ENERGIE,1053
IGN BD TOPO - Réservoir d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e64,BD TOPO : SURFACE D'EAU,1828
IGN BD TOPO - Troncons cours d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e62,BD TOPO : SURFACE D'EAU,1828
GeoTransfert - Comparaison trait de côte de 2010-2012,FeatureTypeInfoImpl-2245790e:1419c920d26:-5099,TRAIT DE COTE : COMPARAISON 2010-2012,3267
GeoTransfert - Comparaison trait de côte de 2012-2013,FeatureTypeInfoImpl-2245790e:1419c920d26:-3b23,TRAIT DE COTE : COMPARAISON 2012-2013,3268
IGN BD TOPO - Chemins,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e30,LIGNE LIMITE DES MAREES BD TOPO IGN 2007,4128
