GeoServer,ID GeoServer,Cartogip,ID Cartogip
CG47 - Réserves naturelles nationales,FeatureTypeInfoImpl--5738bcda:13cb7bf17f0:-7a01,carmen - Réserves naturelles nationales,1331
Vue Aérienne CUB 2008 20cm,CoverageInfoImpl-17928462:1343c2469d3:-726f,null - Vue aérienne CUB 2008,134
DDT 24 - Propriétés couvertes par un Plan Simple de Gestion,FeatureTypeInfoImpl-7a7bae0a:141b772d55a:182e,crpf - Plan simple de gestion,905
INSEE - Croissance de la population par commune de 1969 à 2012,FeatureTypeInfoImpl-48337e3e:150c868ce7e:3310,insee - Population par commune 2007,222
DRAAF - Itinéraires bois ronds,FeatureTypeInfoImpl--155706dd:1373c90c085:-7ffd,filiere_bois - Itinéraires des bois ronds,930
RFF - Projet LGV GPSO 1000m,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d6e,projets_infrastructures - Projet LGV GPSO au 10 12 2012,1010
ARS - PPR 64 - Périmètres de protection rapprochés des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-2d3e,ddtm47 - Périmètres de protection des captages AEP,494
ARS - Etablissements d'hébergement pour personnes agées,FeatureTypeInfoImpl-59b62a1c:15046737959:-5309,null - Etab. pour personnes agées,1838
ARS - PPE 24 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:14ca,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPE 33 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:1697,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPE 40 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:1769,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPE 47 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:469c,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPE 64 - Périmètres de protection éloignés des captages,FeatureTypeInfoImpl--1812fe21:13fece6373d:4704,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPI 24 - Périmètres de protection immédiats des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-706e,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPI 33 - Périmètres de protection immédiats des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-7056,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPI 47 - Périmètres de protection immédiats des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-7050,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPI 64 - Périmètres de protection immédiats des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-704e,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPR 24 - Périmètres de protection rapprochés des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-3b99,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPR 33 - Périmètres de protection rapprochés des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-304f,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPR 40 - Périmètres de protection rapprochés des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-304d,ddtm47 - Périmètres de protection des captages AEP,494
ARS - PPR 47 - Périmètres de protection rapprochés des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-304b,ddtm47 - Périmètres de protection des captages AEP,494
CA Cote Basque Adour - Etablissement pour Personnes Agées,FeatureTypeInfoImpl-2245790e:1419d44a43e:-2259,null - Etab. pour personnes agées,1838
ARS - PPI 40 - Périmètres de protection immédiats des captages,FeatureTypeInfoImpl--1812fe21:13fed2fbc91:-7054,ddtm47 - Périmètres de protection des captages AEP,494
PIGMA - Part des actifs 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:-6671,socio_economique - Part actifs occupés de 15-24 ans,745
PIGMA - Part des actifs 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:4bd3,socio_economique - Part des actifs de 25-54 ans par rapport à la population des 25-54 ans,573
PIGMA - Part des actifs 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl-43d64256:13adb6ed203:5a6d,socio_economique - Part actifs occupés de 55-64 ans,756
PIGMA - Taux de chômage des 15-24 ans / 15-24 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:-1f4d,socio_economique - Taux de chômage des 15-24 ans,346
PIGMA - Taux de chômage des 15-64 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:34b3,socio_economique - Taux de chômage des 15-64 ans,347
PIGMA - Taux de chômage des 25-54 ans / 25-54 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:7f44,socio_economique - Taux de chômage des 25-54 ans,1045
PIGMA - Taux de chômage des 55-64 ans / 55-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-5989,socio_economique - Taux de chômage des 55-64 ans,1038
IGN - BD Parcellaire 24 (raster),CoverageInfoImpl-27b64b81:13413b73026:b54,cadastre - Lim. Communales - IGN - BD Parcellaire,477
IGN - BD Parcellaire 33 (raster),CoverageInfoImpl--4a735b4f:13d10d9dc8b:-76d0,cadastre - Lim. Communales - IGN - BD Parcellaire,477
IGN - BD Parcellaire 40 (raster),CoverageInfoImpl--7498d948:1456a963756:2bff,cadastre - Lim. Communales - IGN - BD Parcellaire,477
IGN - BD Parcellaire 47 (raster),CoverageInfoImpl--7498d948:1456ab556da:-7170,cadastre - Lim. Communales - IGN - BD Parcellaire,477
IGN - BD Parcellaire 64 (raster),CoverageInfoImpl--40801fd5:13569610c66:-464d,cadastre - Lim. Communales - IGN - BD Parcellaire,477
DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd,ddtm47 - Points de prélèvements d'eau pour l'irrigation agricole,1265
Dreal-TRI-Hauteur eau Aléa Faible Proba-Debord,FeatureTypeInfoImpl-5a07631d:14d6640074d:-5fe6,wms_externe - Dreal-TRI-Hauteur eau Aléa Faible Proba-Subm,2010
Dreal-TRI-Hauteur eau Aléa Forte Proba-Debord,FeatureTypeInfoImpl-5a07631d:14d664b35cf:66a1,wms_externe - Dreal-TRI-Hauteur eau Aléa Forte Proba-Subm,2007
Rectorat - Etablissements du 1er degré Novembre 2016,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d80,rectorat - Etablissements scolaires du 2nd degré (rectorat),110
FD chasse 33 - Réserves de chasse et de faune sauvage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dd8,null - Reserves nationales de chasse et faune sauvage,370
GIP ATGeRi- OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--bc07016:15722ad054c:-1e0b,ocs - Evolution de la surface F entre 2000 et 2009,123
GIP LITTORAL - OCS évolution entre 2000 et 2009,FeatureTypeInfoImpl--31e593a4:138fecfaf42:5a3d,ocs - Evolution de la surface N entre 2000 et 2009,325
PIGMA - Part des chômeurs de 15-24 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2251bcf:4cc,socio_economique - Part des chômeurs de 15-24 ans,1033
PIGMA - Part des chômeurs de 25-54 ans / 15-64 ans en 2009,FeatureTypeInfoImpl--66b5f798:13ab2611fca:-66c8,socio_economique - Part des chômeurs de 25-54 ans,1036
