GeoServer,ID GeoServer,GeoNetwork,ID GeoNetwork
SMEAP - Préinventaire des espaces naturels humides dans les vallées des principaux affluents de la Dronne moyenne,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7db4,SMEAP - Dordogne : Préinventaire des espaces naturels humides dans les vallées des principaux affluents de la Dronne moyenne,c9953614-febf-4af5-823e-153bb7f3de79
SMEAP - Préinventaire des espaces naturels humides dans la vallée moyenne de la Dronne,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7db0,SMEAP - Dordogne : Préinventaire des espaces naturels humides dans la vallée moyenne de la Dronne,c145974e-aac8-4ae1-8d70-4a077c269fee
SYSDAU - Terroir viticole à enjeu classé en espace naturel majeur,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7de6,SYSDAU1 - Aire Métropolitaine Bordelaise : Terroir viticole à enjeu classé en espace naturel majeur,d30a3d26-bc2a-4c26-8a9b-27dd595d4f4d
ERDF - Appareil de coupure sous terrain moyenne tension,FeatureTypeInfoImpl--433409c9:133c599c9af:-7d2e,ERDF - Aquitaine: appareil de coupure sous terrain moyenne tension,e8421c89-84c3-4f54-89f2-7fe46779bce7
ERDF - Réseau aérien moyenne tension (15kv - 20kv),FeatureTypeInfoImpl-50da8329:133db20c97a:-7955,ERDF - Aquitaine : Réseau aérien moyenne tension (15kv - 20kv),14dfaafe-a10e-4fd5-9f50-f88695745f2e
ERDF - Réseau enterré moyenne tension (15kv - 20kv),FeatureTypeInfoImpl-50da8329:133db20c97a:-7951,ERDF - Aquitaine: Réseau enterré moyenne tension (15kv - 20kv),60a9f83b-89b2-4085-bfad-e137158a379a
DDT 47 - Atlas zones inondables (hors PPRI),FeatureTypeInfoImpl-1bfa188e:149eb73da18:-23c7,DDT_47 - Lot-et-Garonne : Atlas des zones inondables (hors PPRI),a50cf231-58d7-4009-9896-31ccde6b975b
DDTM40 - Emprise d'un plan d'eau douce,FeatureTypeInfoImpl-2fa548b8:13291b4bfc7:-7835,DDTM40 - Landes : Emprise d'un plan d'eau douce,529117f1-198c-434c-90f0-2954ae0f21e3
DDTM40 - Point de prélèvement d'eau pour l'irrigation,FeatureTypeInfoImpl--3ace510b:13b99b4389f:-7ffd,DDTM40 - Landes : Point de prélèvement d'eau au milieu naturel effectué pour l'irrigation,41b85d47-5a21-4ae1-9860-0b9a3bd4ed0d
ERDF - Appareil de coupure aérien moyenne tension,FeatureTypeInfoImpl--433409c9:133c599c9af:-7cf8,ERDF - Aquitaine: Appareil de coupure aérien moyenne tension,dbaaa045-6e55-4835-ba5a-4ae2f5f95c8a
GIP ATGeRi - Surface moyenne annuelle forestière incendiée,FeatureTypeInfoImpl--29686bc1:1502382da06:-3d76,GIP - Surface moyenne annuelle forestière incendiée,acc0af43-40bc-4af5-8a10-7b14d45c4092
SIAEP LALINDE - Canalisation de branchement à l'assainissement collectif,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4b73,SIAEP_LALINDE - SIAEP de Lalinde : Canalisation de branchement à l'assainissement collectif,db894b71-33f4-4631-8de2-82b35c402401
SIAEP LALINDE - Robinet du réseau d'Alimentation en Eau Potable,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4fbf,SIAEP_LALINDE - SIAEP de Lalinde : Robinet du réseau d'Alimentation en Eau Potable,5a037186-f5ec-4f5d-95a3-d1796a483639
SIAEP LALINDE - Plaque du réseau d'Alimentation en Eau  Potable,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4fc3,SIAEP_LALINDE - SIAEP de Lalinde : Plaque du réseau d'Alimentation en Eau Potable,40c84000-6cbb-4461-98d4-53d9777b272a
ARS - Etablissements pour adultes handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-4f4b,ARS - Aquitaine : Etablissements pour adultes handicapés,0a4115e8-27a8-4d64-afec-61268be69304
ARS - Etablissements pour enfants handicapés,FeatureTypeInfoImpl-59b62a1c:15046737959:-45a4,ARS - Aquitaine : Etablissements pour enfants handicapés,c0f97ef2-1e0a-4075-a584-80b4c29628a9
IGN BD TOPO - Constructions linéaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e4c,BXM - Constructions linéaires (barrage, quai, ruine…) issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,86354d22-1ef0-4721-9e8b-1c267f7f4b2d
AURBA - Lots disponibles des zones d'activités,FeatureTypeInfoImpl-510f4e81:13c906090df:-7ffa,AURBA3 - Gironde : Lots disponibles des zones d'activités,fb499bb1-46a3-40eb-8e0a-070e68dca338
AURBA - Voies ferrées des zones d'activités,FeatureTypeInfoImpl-1f027e38:13c8e8c3c25:-5f8c,AURBA3 - Gironde : Voies ferrées des zones d'activités,091672c8-7a02-48b9-9fee-cacb376cbd8b
SIAEPA de La Brède - Réseau d'eaux usées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7f0a,SIEPA_LABREDE - SIAEPA de La Brède : Réseau d'eaux usées,b98a0c64-2daa-48e0-86cd-6ca1500e062f
SIAEPA de La Brède - Réseau d'eau potable,FeatureTypeInfoImpl-547a414f:138a4b2645c:-7dba,SIEPA_LABREDE - SIAEPA de La Brède : Réseau d'eau potable,530daa7e-bdc8-4501-8594-7162b283d93f
IGN BD TOPO - Lignes électriques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e40,BXM - Réseau de lignes électriques à haute et très haute tension issu de la BD TOPO IGN 2007 Sur Bordeaux Métropole,4a7f0ccd-7664-42bb-83e9-ff223cb2ccec
