GeoServer,ID GeoServer,GeoNetwork,ID GeoNetwork
SIAEP LALINDE - Poteau incendie,FeatureTypeInfoImpl-6213a6cc:134c6c9185c:-4fd4,SIAEP_LALINDE - SIAEP de Lalinde : Poteau incendie,827d184b-d3ee-4ee1-ad01-a338518d6c7c
SMEAP - Repères crues Dronne,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7db6,SMEAP - Dordogne : repères de crues historiques de la Dronne dans la région de Ribérac,d0fc7247-cd24-44f0-b098-49aeb876a545
CG 64 - Ouvrages sur les sentiers d'intérêt départemental,FeatureTypeInfoImpl-1efb5ae3:137edde9d3f:-6e97,CD64 - Ouvrages des sentiers d’intérêt départemental,8d291bfc-7e06-4140-833c-8119d392ed8d
DREAL - Territoires à Risque important Inondation,FeatureTypeInfoImpl-1b06dd87:1420dc1a615:17e9,DREAL2 - Territoires à risque important d’inondation,5875d0f4-2a1c-4f3b-b8c9-8cfa6cbca2d0
DRAC - Plan de sauvegarde et de mise en valeur,FeatureTypeInfoImpl-1f9c8a93:133a71d23f1:-7f6b,CULTURE - Aquitaine : Plan de Sauvegarde et de Mise en Valeur (PSMV),e43591d4-75c4-4dcd-adc1-d67871038c21
EPIDROPT - Espèce indésirable dominante Pe_I,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ec2,EPIDROPT1 - Dordogne et Lot-et-Garonne : Espèce indésirable dominante (Eid) de la ripisylve du Dropt,554de0fa-0c3b-4d06-9cb5-62d7fafa819a
EPIDROPT - Espèce indésirable dominante Pe_p,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ea8,EPIDROPT1 - Dordogne et Lot-et-Garonne : Espèce indésirable dominante (Eid) de la ripisylve du Dropt,554de0fa-0c3b-4d06-9cb5-62d7fafa819a
DGPR - Plan Communal de Sauvegarde (PCS),FeatureTypeInfoImpl--2fa2561a:14fa7e9d44a:-6969,PREF_33 - Gironde : Plan Communal de Sauvegarde (PCS),9f1024c9-2096-456f-9888-24170eedd240
GIP Littoral - Plan plages littoral Aquitain,FeatureTypeInfoImpl--64db1a4f:15a947f3880:315b,GIPLITTORAL1 - Littoral Aquitain : Schéma Plans Plages final,{9578A111-EDE4-4567-9090-C4BAD0C62726}
Gironde Numerique - Tracé des emprises des NRA-ZO,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7dba,GNUM - Gironde : Tracé des emprises des NRA-ZO,664368f0-cdca-413b-b286-db3d5a255a60
IGN BD TOPO - Aire de triage,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e32,BXM - Aires de triage issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,c8de14e2-ffc9-4a1f-8558-003306e55f79
Total - Consommations d'énergie finale en 2012,FeatureTypeInfoImpl--32412c87:14eb58b5b50:16e7,ORECCA - Aquitaine : consommations d'énergie finale par commune en 2012,11dcd7e6-5a87-43f1-8520-868b4337dee2
EPIDROPT - Espèce indésirable dominante RFA_I,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7ec0,EPIDROPT1 - Dordogne et Lot-et-Garonne : Espèce indésirable dominante (Eid) de la ripisylve du Dropt,554de0fa-0c3b-4d06-9cb5-62d7fafa819a
EPIDROPT - Espèce indésirable dominante RFA_P,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7eb6,EPIDROPT1 - Dordogne et Lot-et-Garonne : Espèce indésirable dominante (Eid) de la ripisylve du Dropt,554de0fa-0c3b-4d06-9cb5-62d7fafa819a
IGN BD TOPO - Point d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e68,BXM - Points d'eau servant à l'alimentation en eau potable issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,e92103b4-76e7-4a54-8ea1-66d334a1c4d8
EPIDOR - Zones à Dominante Humide Dordogne,FeatureTypeInfoImpl--7c49cce1:1359a5c4ecf:-5eaa,EPIDOR - Bassin versant de la Dordogne : Zones à Dominante Humide, inventaire au 1/50000e de 2011,ccc6fa04-e460-446b-b938-76a85df9fda0
PNR LG - Sites d'hivernage de la grue cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-65dc,PARC4 - PNR Landes de Gascogne : Sites d'Hivernage de la Grue Cendrée,6dcaef07-f49b-4112-a80f-c9a3208146f0
PNR LG - Tracés des sorties grand public,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-655a,PARC4 - PNR Landes de Gascogne : Tracés des Sorties Grand Public,b1dcf4db-bde1-44b0-981a-227e78f400bd
IGN BD TOPO - Constructions légères,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e54,BXM - Constructions ponctuelles de faibles emprises et de grandes hauteurs issues de la BD TOPO IGN 2007  (antenne, cheminée...) sur Bordeaux Métropole,ae85a926-c605-42b5-8caf-9e729b262c99
Chambre agriculture 33 - Bulletin Sanitaire Vegetal BSV Parcelles,FeatureTypeInfoImpl-5c8f87e1:14407aa6100:-45ad,CA33 - Gironde: Bulletin Sanitaire Végétal: nombre de parcelles par commune.,a5ba3b9b-026b-4b65-bd6c-ecf466eddd46
IGN BD TOPO - Routes nommées,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e2e,BXM - Axes de routes issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,3f44e63a-2a0c-4dae-9822-80b1071fb353
IGN BD TOPO -  Surfaces routes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e28,BXM - Surfaces d'eau issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,7a199d0f-a53f-47a7-a8ad-00e97e2a3dad
PNR LG -  Zones de Gagnage de la Grue Cendrée,FeatureTypeInfoImpl--2aae7c6e:13542c0f87f:-63da,PARC4 - PNR Landes de Gascogne : Zones de Gagnage de la Grue Cendrée,877e1d2b-292a-49c9-869b-adb6333d9076
SMBV des Lacs du Born - Zones humides effectives,FeatureTypeInfoImpl-6b25b570:152f4e8a74b:-388a,SMBVL - SAGE Born et Buch : Zones humides effectives,a7b8d14f-6343-4bae-bf11-bf13f17ee0dd
IGN BD TOPO -  Oronymes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e5c,BXM - Constructions ponctuelles de faibles emprises et de grandes hauteurs issues de la BD TOPO IGN 2007  (antenne, cheminée...) sur Bordeaux Métropole,ae85a926-c605-42b5-8caf-9e729b262c99
RFF - Réseau ferré Aquitain et Poitou-Charentes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7d68,RFF - Aquitaine et Poitou-Charentes : Réseau ferré (Trafic TER),705bc90c-8902-4470-b02d-641bc05c816c
CG 24 - Espaces Naturels Sensibles (Ponctuels),FeatureTypeInfoImpl-91f625d:140546729a4:3a9a,CD24 - Dordogne : Espaces Naturels Sensibles (ENS),2f847f41-9af3-4304-b826-e936af7abe5b
DDTM 33 - Périmètres des Plans Locaux de l'Habitat,FeatureTypeInfoImpl--2e1400eb:133edec7535:-7e88,DDTM33 - Gironde : Périmètres des Plans Locaux d'Habitat (PLH),306fbc9c-9d3e-4ae8-97e3-4927c2f74538
IGN BD TOPO - Réservoir d'eau,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e64,BXM - Points d'eau servant à l'alimentation en eau potable issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,e92103b4-76e7-4a54-8ea1-66d334a1c4d8
IGN BD TOPO - Routes primaires,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e26,BXM - Axes de routes issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,3f44e63a-2a0c-4dae-9822-80b1071fb353
IGN BD TOPO - Toponymes divers,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e70,BXM - Ouvrages divers issus de la BD TOPO IGN 2007 sur Bordeaux Métropole,b28e9b83-d7b3-4d24-821a-89bb8dc561be
CG 24 - Espaces Naturels Sensibles (polygones),FeatureTypeInfoImpl-91f625d:140546729a4:-3604,CD24 - Dordogne : Espaces Naturels Sensibles (ENS),2f847f41-9af3-4304-b826-e936af7abe5b
IGN BD TOPO - Pistes aérodromes,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e42,BXM - Pistes d'aérodrome issues de la BD TOPO IGN 2007 sur Bordeaux Métropole,b8b77f3d-025f-4641-bc7f-7cb7cc545b24
OCA - Projection 2020 du trait de côte,FeatureTypeInfoImpl--526cedd4:143d45a8877:66d2,OCA - Aquitaine: Position théorique du trait de côte du littoral sableux aquitain en 2020 (à dire d'expert),33e5952e-c6ea-4c7a-8bb9-a35ad983d475
CDC Prayssas - Zonage du Plan Local de l'Urbanisme,FeatureTypeInfoImpl-2245790e:1419d9b9955:-248a,CC_PRAYSSAS - Communauté de Communes de Prayssas : Zonage Plan Local d'Urbanisme (PLU),fe6076ff-be72-4c23-b668-c04cff1ad4eb
IGN BD TOPO - PAI espace naturel,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e82,BXM - Espace végétal issu de la BD TOPO IGN 2007 sur Bordeaux Métropole,f4d04ab9-6cf8-47b1-bcfa-d84935d927e2
IGN BD TOPO - Constructions surfaciques,FeatureTypeInfoImpl--3d639cb2:13285edbc12:-7e46,BXM - Constructions ponctuelles de faibles emprises et de grandes hauteurs issues de la BD TOPO IGN 2007  (antenne, cheminée...) sur Bordeaux Métropole,ae85a926-c605-42b5-8caf-9e729b262c99
