ID cifog,ORGA cifog,TEXT cifog,ID palmi,ORGA palmi,TEXT palmi
37004,44032497800012,44032497800012 - EARL_DE_GAS,V040AGP,44032497800012,44032497800012 - EARL_DE_GAS
36309,34771297800019,34771297800019 - EARL_DE_MORLANNE,V040ATR,34771297800019,34771297800019 - EARL_DE_MORLANNE
33067,35326451800013,35326451800013 - EARL_BATBYLALANNE,V040BIX,35326451800013,35326451800013 - EARL_BATBYLALANNE
29844,50119778400017,50119778400017 - GRAZIANI,V040BJO,50119778400017,50119778400017 - GRAZIANI
36886,39368000400016,39368000400016 - SCEA_du_Grand_Gourgues,V040BJN,39368000400016,39368000400016 - SCEA_du_Grand_Gourgues
26719,41827977400016,41827977400016 - EARL_DE_SENS,V140BVI,41827977400016,41827977400016 - EARL_DE_SENS
28005,42274980400015,42274980400015 - EARL_LESPLANTES,V040BJK,42274980400015,42274980400015 - EARL_LESPLANTES
31596,39129522700014,39129522700014 - EARL_VIEILLE_FONTAINE,V040BGX,39129522700014,39129522700014 - EARL_VIEILLE_FONTAINE
29185,41336502400012,41336502400012 - DUBOUT_GERARD,V040JAX,41336502400012,41336502400012 - DUBOUT_GERARD
35070,41911105900012,41911105900012 - MERVILLE,V040BHG,41911105900012,41911105900012 - MERVILLE
24312,32869057300030,32869057300030 - MORA,V040IWI,32869057300030,32869057300030 - MORA
8013,81392365300014,81392365300014 - BEYRIES,V040BFE,81392365300014,81392365300014 - BEYRIES
26141,48366457900016,48366457900016 - DUPEBE,V040IXF,48366457900016,48366457900016 - DUPEBE
33542,42022846200016,42022846200016 - EARL_DE_GALAS,V140BFQ,42022846200016,42022846200016 - EARL_DE_GALAS
37562,32123736400013,32123736400013 - EARL_DE_MANEYRE,V040AFX,32123736400013,32123736400013 - EARL_DE_MANEYRE
35880,79202706200019,79202706200019 - EARL_LES_ACACIAS,V040HON,79202706200019,79202706200019 - EARL_LES_ACACIAS
31707,33287505300016,33287505300016 - EARL_DU_BOUDRA,V040DUU,33287505300016,33287505300016 - EARL_DU_BOUDRA
31025,48341265600017,48341265600017 - EARL_LEBRET,V040DVC,48341265600017,48341265600017 - EARL_LEBRET
30707,41911331100015,41911331100015 - RECURT,V040DUW,41911331100015,41911331100015 - RECURT
33775,52323088600013,52323088600013 - EARL_LA_GRANGE_DE_CHALOSSE,V140BUA,52323088600013,52323088600013 - EARL_LA_GRANGE_DE_CHALOSSE
34201,34805047700010,34805047700010 - EARL_DU_COMTE,V040IBP,34805047700010,34805047700010 - EARL_DU_COMTE
30744,52936562900011,52936562900011 - SCEA_MAISONNABE,V040DVK,52936562900011,52936562900011 - SCEA_MAISONNABE
31513,81481356400014,81481356400014 - EARL_B_&_O,V040JHM,81481356400014,81481356400014 - EARL_B_&_O
33199,49773020000019,49773020000019 - EARL_NAHIKARI,V040IJF,49773020000019,49773020000019 - EARL_NAHIKARI
33825,48497617000015,48497617000015 - EARL_LA_GOUAOUGUE,V040DVE,48497617000015,48497617000015 - EARL_LA_GOUAOUGUE
35090,35029489800019,35029489800019 - EARL_SAINT_JEAN,V040DVG,35029489800019,35029489800019 - EARL_SAINT_JEAN
25011,50494134500010,50494134500010 - DABADIE,V040ILL,50494134500010,50494134500010 - DABADIE
31895,39783642000018,39783642000018 - CURCULOSSE,V040BXU,39783642000018,39783642000018 - CURCULOSSE
34030,49780642200018,49780642200018 - EARL_DE_LA_SUERTE,V040HWZ,49780642200018,49780642200018 - EARL_DE_LA_SUERTE
32955,52310607800018,52310607800018 - EARL_CLARIC,V040HPG,52310607800018,52310607800018 - EARL_CLARIC
28985,38057870800014,38057870800014 - EARL_DU_HAOU,V040BXR,38057870800014,38057870800014 - EARL_DU_HAOU
27655,79146744200012,79146744200012 - EARL_PRAZLAN,V040IZC,79146744200012,79146744200012 - EARL_PRAZLAN
27182,39963276900010,39963276900010 - SARL_de_LA_MIDOUZE,V040BXZ,39963276900010,39963276900010 - SARL_de_LA_MIDOUZE
26685,53273371400010,53273371400010 - EARL_PALMESO,V040JFH,53273371400010,53273371400010 - EARL_PALMESO
33084,33180127400019,33180127400019 - EARL_DU_BOURDOT,V040JGS,33180127400019,33180127400019 - EARL_DU_BOURDOT
33378,50862283400010,50862283400010 - SCEA_DU_HAUT_POUYET,V040CYN,50862283400010,50862283400010 - SCEA_DU_HAUT_POUYET
34631,43224672600017,43224672600017 - EARL_DE_CLAVERIE,V040CYB,43224672600017,43224672600017 - EARL_DE_CLAVERIE
12243,40023634500015,40023634500015 - EARL_DE_LAGORCE,V040CYG,40023634500015,40023634500015 - EARL_DE_LAGORCE
26720,33178869500012,33178869500012 - EARL_DE_LATASTE,V040JJJ,33178869500012,33178869500012 - EARL_DE_LATASTE
31012,39008473900015,39008473900015 - SCEA_DE_JANET,V040JAU,39008473900015,39008473900015 - SCEA_DE_JANET
31022,40888339500019,40888339500019 - CASTAINGS_REGIS,V040JBQ,40888339500019,40888339500019 - CASTAINGS_REGIS
