CD40;cg 40
CA64;chambre agriculture 64
SYSDAU;sysdau1
DREAL;dreal2
ENSAP;ensap bordeaux
SIRTAQUI;sirtaqui2
DDT47;ddt_47;ddt 47
RAUDIN;raudin2
GRDF;grdf1
CCVA;cc_val_albret;cdc val d albret
SNIA;snia5
DFCIAQ;ardfci
EPIDROPT;epidropt1
CD33;cg 33
GPMB;gpmb
GIPPQA;gip_pqa;gip pqa
CA33;chambre agriculture 33
PGB;pays du grand bergeracois
CCMEZ;cc_mezinais;cdc du mãâ©zinais
CEN;cen aquitaine
IMP;impots_last1;impots_last
GIP;gip atgeri
CCPRAY;cc_prayssas;cdc prayssas
CAP;ca_perigourdine;ca perigueux
CRA;cr aquitaine
CCPIEMONT;cdc piãâ©mont oloronais
CCBG;cdc bourg en gironde;cc_bourg_gironde
MEZIN;commmune de mãâ©zin
CD47;cg 47
SDIS64;sdid 64;logosdis64
DRAAF;draaf2
SDIS24;sdis 24;logosdis241
CD64;cg 64
INSEE;insee2
PARC;parc4
DDT24;ddt 24
FDP33;fd pãâªche 33
CAGRANDDAX;ca grand dax
CAGV;ca grand villeneuvois
STMOR;saint_morillon2;saint_morillon
SDIS33;sdis 33;logosdis331
GIPLIT;giplittoral1;gip littoral
CC;communaute de communes
CCPENNEDAGENAIS;cdc penne d agenais
CCE;cc_estuaire;cdc estuaire
AURBA;aurba3
DFCI47;dfcil47
CACBA;ca_cote_basque_adour;ca cote basque adour
FDP64;fdp_64
CCM;cc montesquieu
FNPHP;fnphp1
MEDDE;min_ecologie
SDIS40;sdis 40;logosdis401
DDTM33;ddtm 33
CD24;cg 24
SDIS47;sdis 47;logosdis471
